# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.0 Build 711 06/05/2020 SJ Lite Edition
# File: D:\EigeneDateien\Seafile\Seafile\Elektronik\Projects\Signal-Generator\Mark II Version\FPGA-Controllers\FPGA_Pinout_Mk-III_Rev-A.csv
# Generated on: Tue Aug 11 20:37:22 2020

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
sdram_a[5],Output,PIN_78,5,B5_N0,PIN_78,3.3-V LVTTL,,,,,
sdram_a[4],Output,PIN_79,5,B5_N0,PIN_79,3.3-V LVTTL,,,,,
sdram_a[3],Output,PIN_26,2,B2_N0,PIN_26,3.3-V LVTTL,,,,,
sdram_a[2],Output,PIN_27,2,B2_N0,PIN_27,3.3-V LVTTL,,,,,
sdram_a[1],Output,PIN_28,2,B2_N0,PIN_28,3.3-V LVTTL,,,,,
sdram_a[0],Output,PIN_29,2,B2_N0,PIN_29,3.3-V LVTTL,,,,,
sdram_ba[1],Output,PIN_32,2,B2_N0,PIN_32,3.3-V LVTTL,,,,,
sdram_ba[0],Output,PIN_33,2,B2_N0,PIN_33,3.3-V LVTTL,,,,,
sdram_cas_n,Output,PIN_41,3,B3_N0,PIN_41,3.3-V LVTTL,,,,,
sdram_cke,Output,PIN_127,8,B8_N0,PIN_127,3.3-V LVTTL,,,,,
SDRAM_CLK,Output,PIN_56,3,B3_N0,PIN_56,3.3-V LVTTL,,,,,
sdram_cs_n,Output,PIN_38,3,B3_N0,PIN_38,3.3-V LVTTL,,,,,
sdram_dq[15],Bidir,PIN_57,3,B3_N0,PIN_57,3.3-V LVTTL,,,,,
sdram_dq[14],Bidir,PIN_58,3,B3_N0,PIN_58,3.3-V LVTTL,,,,,
sdram_dq[13],Bidir,PIN_59,3,B3_N0,PIN_59,3.3-V LVTTL,,,,,
sdram_dq[12],Bidir,PIN_60,3,B3_N0,PIN_60,3.3-V LVTTL,,,,,
sdram_dq[11],Bidir,PIN_61,4,B4_N0,PIN_61,3.3-V LVTTL,,,,,
sdram_dq[10],Bidir,PIN_62,4,B4_N0,PIN_62,3.3-V LVTTL,,,,,
sdram_dq[9],Bidir,PIN_64,4,B4_N0,PIN_64,3.3-V LVTTL,,,,,
sdram_dq[8],Bidir,PIN_65,4,B4_N0,PIN_65,3.3-V LVTTL,,,,,
sdram_dq[7],Bidir,PIN_45,3,B3_N0,PIN_45,3.3-V LVTTL,,,,,
sdram_dq[6],Bidir,PIN_46,3,B3_N0,PIN_46,3.3-V LVTTL,,,,,
sdram_dq[5],Bidir,PIN_47,3,B3_N0,PIN_47,3.3-V LVTTL,,,,,
sdram_dq[4],Bidir,PIN_48,3,B3_N0,PIN_48,3.3-V LVTTL,,,,,
sdram_dq[3],Bidir,PIN_50,3,B3_N0,PIN_50,3.3-V LVTTL,,,,,
sdram_dq[2],Bidir,PIN_52,3,B3_N0,PIN_52,3.3-V LVTTL,,,,,
sdram_dq[1],Bidir,PIN_54,3,B3_N0,PIN_54,3.3-V LVTTL,,,,,
sdram_dq[0],Bidir,PIN_55,3,B3_N0,PIN_55,3.3-V LVTTL,,,,,
sdram_dqmh,Output,PIN_66,4,B4_N0,PIN_66,3.3-V LVTTL,,,,,
sdram_dqml,Output,PIN_44,3,B3_N0,PIN_44,3.3-V LVTTL,,,,,
sdram_ras_n,Output,PIN_39,3,B3_N0,PIN_39,3.3-V LVTTL,,,,,
sdram_we_n,Output,PIN_43,3,B3_N0,PIN_43,3.3-V LVTTL,,,,,
inclk0(n),Unknown,PIN_89,6,B6_N0,,3.3-V LVTTL,,,,,
